year_start,fiscal_year,chapter,fce,admissions,male,female,gender_unknown,emergency,waiting_list,planned,other_admission,age_0_14,age_15_59,age_60_74,age_75_plus,day_case,bed_days,mean_age,mean_los
2000,2000-01,Symptoms and signs,1525551.0,1349333.0,686933.0,,,799138.0,352570.0,,,164738.0,675770.0,318889.0,359031.0,318792.0,6831225.452082192,50.00737700673396,8.458107398572713
2000,2000-01,Injury and poisoning,733353.0,666030.0,387629.0,,,560280.0,71787.0,,,121996.0,359695.0,91336.0,159713.0,30485.0,4260041.922465754,43.758997372343195,7.002134715478086
2000,2000-01,Health services factors,1012516.0,971292.0,457672.0,,,51946.0,283529.0,,,434533.0,351894.0,111372.0,110527.0,311641.0,2727434.258410959,28.668684741771983,5.915715504742641
2001,2001-02,Infectious and parasitic,160773.0,140945.0,83533.0,,,117597.0,14541.0,,,76091.0,49594.0,14379.0,18439.0,14538.0,631939.9764657533,25.964129549115835,5.716035652752639
2001,2001-02,Neoplasms,1347846.0,1256896.0,660426.0,,,156251.0,631938.0,,,45726.0,521512.0,479883.0,298945.0,763375.0,4294658.754794521,59.44748880806858,8.644735451973
2001,2001-02,Blood and immune,180127.0,157386.0,81268.0,,,49083.0,60116.0,,,18918.0,68163.0,41043.0,51615.0,89492.0,448427.66268493154,52.89809412248025,6.701911429158317
2001,2001-02,Endocrine and metabolic,152870.0,128966.0,73569.0,,,59570.0,46463.0,,,17174.0,68015.0,36706.0,30482.0,46144.0,756353.6277123288,49.475534768103614,9.427788316870544
2001,2001-02,Mental health,221054.0,196105.0,110674.0,,,126173.0,23154.0,,,12274.0,142271.0,27498.0,38623.0,4135.0,6613748.363123288,46.50131189664064,64.92308033331223
2001,2001-02,Nervous system,241553.0,207405.0,112887.0,,,87985.0,87070.0,,,22467.0,117004.0,49631.0,51889.0,64133.0,1836871.9752876712,50.83127926376406,15.690765173688591
2001,2001-02,Eye,397403.0,394694.0,159753.0,,,22323.0,342393.0,,,16831.0,68858.0,116489.0,194791.0,315237.0,155265.74384931507,68.12821493546853,1.7530343253573828
2001,2001-02,Ear,85107.0,83772.0,45819.0,,,12286.0,69256.0,,,48328.0,26398.0,6938.0,3388.0,45759.0,67559.5705479452,23.0,1.8
2001,2001-02,Circulatory,1085883.0,829320.0,603045.0,,,484012.0,262951.0,,,6494.0,295795.0,381035.0,400894.0,152263.0,7259292.168726028,66.49224363950812,10.700353445076495
2001,2001-02,Respiratory,741832.0,599488.0,385449.0,,,441208.0,132635.0,,,181866.0,204243.0,150682.0,203682.0,34481.0,3789919.5353972604,45.50306808010439,7.265988525703933
2001,2001-02,Digestive,1298103.0,1127544.0,642779.0,,,350247.0,614522.0,,,121947.0,621356.0,300118.0,252590.0,583459.0,3384674.015205479,50.360818825624776,6.089654750046798
2001,2001-02,Skin,272186.0,249493.0,137164.0,,,96719.0,134423.0,,,24641.0,150931.0,49259.0,46813.0,121681.0,1003891.7501095891,46.349885739898454,8.2836857883947
2001,2001-02,Musculoskeletal,661850.0,630559.0,289156.0,,,123379.0,432712.0,,,24423.0,343544.0,175413.0,116308.0,263485.0,2370002.055465753,53.69141799501398,6.645961471632546
2001,2001-02,Genitourinary,777432.0,720965.0,293075.0,,,177474.0,457975.0,,,43412.0,442566.0,156719.0,130257.0,333115.0,2102471.1659041094,49.89488469731115,5.543363921217547
2001,2001-02,Pregnancy and childbirth,1168689.0,1147695.0,36.0,,,130877.0,96923.0,,,1251.0,1141296.0,15.0,3235.0,96398.0,1897177.3655205478,28.140689268060193,1.8821728449570418
2001,2001-02,Perinatal,175835.0,151234.0,97148.0,,,16064.0,1735.0,,,175395.0,242.0,4.0,18.0,1340.0,931819.2079178082,0.0,6.653455227912532
2001,2001-02,Congenital,97524.0,90617.0,56095.0,,,9093.0,52893.0,,,75040.0,18940.0,2242.0,1106.0,26138.0,267342.9940684932,11.055617078872892,4.763475657274107
2001,2001-02,Symptoms and signs,1530162.0,1338409.0,706889.0,,,816150.0,336427.0,,,164816.0,661106.0,324573.0,371714.0,311346.0,6806187.800958904,50.58014902997199,7.549826031492088
2001,2001-02,Injury and poisoning,751028.0,673743.0,399425.0,,,567305.0,71083.0,,,125182.0,366410.0,92130.0,165746.0,30579.0,4499316.988219178,43.925916210847,7.384928524635567
2001,2001-02,Health services factors,1010103.0,970563.0,457967.0,,,49822.0,255926.0,,,453685.0,342822.0,105454.0,102936.0,295854.0,2446836.310013699,27.687765505101954,4.3979162521049835
2002,2002-03,Infectious and parasitic,160639.0,138008.0,83305.0,,,114476.0,14486.0,,,71775.0,50359.0,15446.0,21775.0,14715.0,672104.0,27.97638182508606,6.427482740803914
2002,2002-03,Neoplasms,1378513.0,1282745.0,679350.0,,,158767.0,664998.0,,,48777.0,524207.0,490485.0,313828.0,770642.0,4341226.0,59.650297820912826,8.388694049312557
2002,2002-03,Blood and immune,188355.0,163921.0,84955.0,,,49839.0,64356.0,,,19227.0,71582.0,43040.0,54271.0,94508.0,456947.0,53.15600860078044,6.6973242016405194
2002,2002-03,Endocrine and metabolic,160373.0,133683.0,77746.0,,,63007.0,45687.0,,,18222.0,71829.0,37200.0,32909.0,46702.0,786735.0,49.419403515554365,9.445946013356362
2002,2002-03,Mental health,225173.0,200978.0,114879.0,,,127285.0,23606.0,,,12042.0,146785.0,26646.0,39362.0,4244.0,6633312.0,46.6702180101522,59.86160596519121
2002,2002-03,Nervous system,251709.0,216451.0,116366.0,,,89440.0,91192.0,,,23807.0,122212.0,51772.0,53621.0,69624.0,1735511.0,50.998148655789024,13.752564270645866
2002,2002-03,Eye,419692.0,416993.0,168907.0,,,21984.0,356877.0,,,16939.0,71938.0,123029.0,207648.0,342737.0,147405.0,68.18353697473385,1.8055092782326085
2002,2002-03,Ear,84593.0,83163.0,45431.0,,,12023.0,69116.0,,,46427.0,27369.0,7197.0,3584.0,43837.0,68708.0,24.0,1.7999999999999998
2002,2002-03,Circulatory,1148721.0,860850.0,636524.0,,,491366.0,277158.0,,,6703.0,313341.0,394206.0,433466.0,167823.0,7620372.0,66.45967384595563,11.054148744560257
2002,2002-03,Respiratory,768141.0,609120.0,397699.0,,,440652.0,142120.0,,,174356.0,216591.0,157588.0,218943.0,36618.0,3890416.0,46.792931245695776,7.471594668166391
2002,2002-03,Digestive,1345261.0,1167023.0,668136.0,,,367031.0,626460.0,,,126745.0,642698.0,308905.0,266110.0,597586.0,3530983.0,50.522801894948266,6.202028825633092
2002,2002-03,Skin,285366.0,260131.0,144101.0,,,101808.0,139095.0,,,24942.0,159020.0,50772.0,50289.0,125701.0,1038826.0,47.21218014759992,8.238048330915385
2002,2002-03,Musculoskeletal,721624.0,687845.0,314346.0,,,131027.0,471115.0,,,25064.0,370209.0,194840.0,130000.0,288427.0,2522043.0,54.38893939225968,6.594486463864839
2002,2002-03,Genitourinary,807239.0,745010.0,307700.0,,,184916.0,464624.0,,,43518.0,452403.0,164071.0,142630.0,345559.0,2205587.0,50.4976184252743,5.678453345291791
2002,2002-03,Pregnancy and childbirth,1205154.0,1183348.0,40.0,,,133299.0,94506.0,,,1190.0,1183664.0,15.0,4446.0,93271.0,1986625.0,28.272931094283386,1.7991474118660356
2002,2002-03,Perinatal,174126.0,150690.0,96508.0,,,17342.0,1856.0,,,173799.0,232.0,1.0,22.0,1495.0,972234.0,0.0,6.694431618483167
2002,2002-03,Congenital,102239.0,94766.0,59335.0,,,9168.0,55028.0,,,78683.0,19943.0,2387.0,1166.0,27502.0,280125.0,11.033490155420143,4.433960621680572
2002,2002-03,Symptoms and signs,1516321.0,1323514.0,703370.0,,,817052.0,322528.0,,,159420.0,657192.0,323653.0,373247.0,304751.0,6342102.0,51.08436472224549,7.412998369078842
2002,2002-03,Injury and poisoning,774889.0,689077.0,405815.0,,,573117.0,74023.0,,,121564.0,372122.0,97260.0,183153.0,31924.0,4947573.0,45.11202894866233,8.089959594212848
2002,2002-03,Health services factors,1037783.0,1006770.0,468654.0,,,49881.0,261701.0,,,470104.0,358610.0,106204.0,98905.0,306461.0,2168436.0,27.18774445139302,3.672083566603037
2003,2003-04,Infectious and parasitic,161366.0,136555.0,83226.0,,,112728.0,13792.0,,,67619.0,51988.0,16139.0,24411.0,14923.0,721048.0,32.682219302703174,6.826406430102998
2003,2003-04,Neoplasms,1390107.0,1288227.0,683330.0,,,156595.0,638095.0,,,48398.0,522295.0,500399.0,318276.0,778261.0,4328394.0,60.45464413890441,8.209962182767224
2003,2003-04,Blood and immune,196928.0,170605.0,87462.0,,,50657.0,63795.0,,,18475.0,76185.0,45512.0,56610.0,100006.0,452360.0,54.977331816704584,6.355199870003251
2003,2003-04,Endocrine and metabolic,170310.0,140726.0,82458.0,,,66276.0,47542.0,,,18653.0,76043.0,39354.0,36079.0,49855.0,814070.0,51.399853208854445,8.969499735775939
2003,2003-04,Mental health,216996.0,190546.0,112207.0,,,125131.0,19208.0,,,10093.0,141991.0,25821.0,38866.0,3148.0,7364533.0,47.51475142398938,53.51694363029733
2003,2003-04,Nervous system,263191.0,225632.0,121112.0,,,92319.0,95401.0,,,23390.0,128719.0,55576.0,55408.0,77291.0,1847890.0,52.44797504473937,13.600319919754094
2003,2003-04,Eye,448786.0,446141.0,182348.0,,,23336.0,378265.0,,,17025.0,74797.0,133765.0,223133.0,373899.0,145475.0,68.75632929725973,1.6857789681496302
2003,2003-04,Ear,81246.0,79532.0,43086.0,,,13058.0,64434.0,,,42555.0,27292.0,7541.0,3843.0,40196.0,69458.0,26.0,1.8000000000000003
2003,2003-04,Circulatory,1169265.0,862860.0,649324.0,,,486389.0,278214.0,,,6921.0,316916.0,397227.0,447805.0,174732.0,7571549.0,67.50292021055962,10.535780768260404
2003,2003-04,Respiratory,841102.0,649557.0,429805.0,,,485552.0,137317.0,,,183499.0,227006.0,175165.0,255026.0,35768.0,4256594.0,50.469407990945214,7.356105323730058
2003,2003-04,Digestive,1354340.0,1167859.0,671910.0,,,376212.0,615872.0,,,122650.0,651619.0,310805.0,268736.0,589535.0,3578036.0,51.95758672120738,5.974154791263641
2003,2003-04,Skin,293527.0,263886.0,148845.0,,,109247.0,136400.0,,,24614.0,162701.0,53147.0,52889.0,122500.0,1098172.0,49.18111792100897,7.890704432641632
2003,2003-04,Musculoskeletal,766902.0,730780.0,331853.0,,,138786.0,493813.0,,,25299.0,387534.0,213228.0,139887.0,304127.0,2577659.0,55.47235370360229,6.1167741119465076
2003,2003-04,Genitourinary,821441.0,748159.0,319716.0,,,198160.0,447722.0,,,43666.0,450538.0,166074.0,155806.0,331936.0,2296750.0,51.877148815313575,5.674483377381942
2003,2003-04,Pregnancy and childbirth,1225466.0,1202998.0,0.0,,,130787.0,90020.0,,,1031.0,1204289.0,18.0,5537.0,91852.0,2015603.0,28.398238710825108,1.7938030104466383
2003,2003-04,Perinatal,179768.0,153655.0,99076.0,,,18094.0,1792.0,,,179382.0,272.0,6.0,18.0,1425.0,1022287.0,0.0,6.608319055671755
2003,2003-04,Congenital,104343.0,95979.0,60315.0,,,9199.0,55972.0,,,79771.0,20856.0,2443.0,1217.0,28681.0,284673.0,11.030706420171933,4.209007791610362
2003,2003-04,Symptoms and signs,1632931.0,1415296.0,758699.0,,,916072.0,326755.0,,,160278.0,705270.0,348933.0,416057.0,306896.0,6945181.0,53.138262425050414,6.835940526574608
2003,2003-04,Injury and poisoning,816443.0,721003.0,428002.0,,,601486.0,76774.0,,,121561.0,396781.0,103539.0,194090.0,32476.0,5138334.0,46.52442607750939,7.715025053800449
2003,2003-04,Health services factors,1040022.0,1009167.0,467142.0,,,48650.0,245997.0,,,480064.0,357438.0,103715.0,96009.0,299969.0,2091544.0,26.67290884231295,3.309916040237611
2004,2004-05,Infectious and parasitic,175760.0,145232.0,90171.0,,,121102.0,13684.0,,,69896.0,56632.0,18524.0,29636.0,15452.0,790456.0,34.14105029585799,6.585322030040966
2004,2004-05,Neoplasms,1423410.0,1313619.0,699809.0,,,160299.0,616078.0,,,48005.0,525469.0,520233.0,329290.0,802469.0,4325696.0,60.81658692857293,8.165874484512546
2004,2004-05,Blood and immune,208129.0,179992.0,93907.0,,,53100.0,61999.0,,,19619.0,81049.0,48030.0,59287.0,106556.0,443174.0,55.07698110306589,5.975827491603765
2004,2004-05,Endocrine and metabolic,184332.0,151876.0,91062.0,,,70854.0,48345.0,,,19407.0,82902.0,42099.0,39819.0,55053.0,809269.0,51.93725451902003,8.333298613371525
2004,2004-05,Mental health,224585.0,192870.0,117885.0,,,129584.0,16739.0,,,9554.0,149024.0,26876.0,38947.0,2645.0,7825652.0,47.451521695571834,55.43421110047421
2004,2004-05,Nervous system,275250.0,235352.0,126357.0,,,96953.0,98854.0,,,23781.0,136076.0,58682.0,56598.0,82792.0,1730040.0,52.621227974568576,12.322946412352408
2004,2004-05,Eye,455248.0,452448.0,187276.0,,,25281.0,377009.0,,,17120.0,77586.0,137239.0,223271.0,383939.0,138455.0,68.54407487786877,1.659040127578814
2004,2004-05,Ear,80953.0,79019.0,43073.0,,,13665.0,63442.0,,,40991.0,27810.0,8018.0,4130.0,40019.0,68078.0,27.0,1.7000000000000002
2004,2004-05,Circulatory,1194900.0,872366.0,665671.0,,,486284.0,281838.0,,,6608.0,319075.0,403647.0,465239.0,182308.0,7470397.0,67.65811113900745,10.297754623817891
2004,2004-05,Respiratory,877451.0,668005.0,449517.0,,,505423.0,136023.0,,,182874.0,240776.0,181936.0,271546.0,39020.0,4217437.0,51.057131395371364,7.090923481767073
2004,2004-05,Digestive,1415945.0,1210193.0,697825.0,,,409161.0,620325.0,,,126387.0,677976.0,324919.0,286307.0,607655.0,3653359.0,51.906575467267444,5.833042314496678
2004,2004-05,Skin,295975.0,264258.0,149964.0,,,114340.0,134100.0,,,24839.0,162161.0,53266.0,55559.0,120206.0,1064706.0,49.195878030239044,7.5029590337021705
2004,2004-05,Musculoskeletal,812761.0,771601.0,350397.0,,,157058.0,506727.0,,,26868.0,404187.0,229331.0,151948.0,322825.0,2582629.0,55.733947618057464,5.837158771151667
2004,2004-05,Genitourinary,847055.0,762064.0,330874.0,,,219388.0,441595.0,,,44969.0,457050.0,168146.0,170352.0,338373.0,2370653.0,52.03101333443519,5.575183075479161
2004,2004-05,Pregnancy and childbirth,1277954.0,1251641.0,0.0,,,139557.0,86992.0,,,1064.0,1260002.0,29.0,4853.0,88327.0,2002435.0,28.37769199830354,1.7244616003392923
2004,2004-05,Perinatal,184637.0,157110.0,101797.0,,,20558.0,1819.0,,,184320.0,244.0,2.0,11.0,1500.0,1046633.0,0.0,6.588669659927318
2004,2004-05,Congenital,105530.0,96983.0,60469.0,,,9458.0,55335.0,,,80486.0,21222.0,2532.0,1261.0,29750.0,288409.0,11.035591774850753,4.869060930541078
2004,2004-05,Symptoms and signs,1732318.0,1500645.0,802876.0,,,1007296.0,317672.0,,,169749.0,749661.0,366116.0,443742.0,303860.0,6553028.0,53.170456578988386,6.091566213593578
2004,2004-05,Injury and poisoning,877719.0,770293.0,456516.0,,,642714.0,80040.0,,,121647.0,428439.0,112563.0,214647.0,34737.0,5245502.0,46.98489151995115,7.387434019315978
2004,2004-05,Health services factors,1056853.0,1026439.0,468009.0,,,46605.0,229003.0,,,501292.0,363132.0,99242.0,90833.0,290146.0,1928689.0,25.848409381437154,2.942168116095616
2005,2005-06,Infectious and parasitic,188502.0,151753.0,96682.0,,,127766.0,13475.0,,,71001.0,62075.0,20360.0,34249.0,14975.0,861379.0,35.607680555113475,6.78660916064551
2005,2005-06,Neoplasms,1520547.0,1402879.0,751922.0,,,164881.0,646444.0,,,49025.0,557483.0,559219.0,354246.0,869548.0,4304287.0,60.756700055966704,7.811516644996833
2005,2005-06,Blood and immune,222715.0,192395.0,99621.0,,,53962.0,67340.0,,,19384.0,86805.0,52274.0,64163.0,118057.0,434150.0,55.38371012280268,5.744364771120041
2005,2005-06,Endocrine and metabolic,204441.0,167918.0,101889.0,,,77422.0,54333.0,,,20793.0,93499.0,46094.0,43912.0,63176.0,819993.0,51.87946644753254,7.815302214330786
2005,2005-06,Mental health,218924.0,187094.0,116001.0,,,128207.0,16502.0,,,8699.0,145191.0,26607.0,38249.0,3072.0,7247499.0,48.013986588953244,55.15501406880927
2005,2005-06,Nervous system,294623.0,249496.0,136046.0,,,103908.0,105086.0,,,25527.0,145858.0,63272.0,59912.0,88063.0,1696587.0,52.79613607898908,11.520368063593134
2005,2005-06,Eye,453111.0,450181.0,190547.0,,,27168.0,370417.0,,,17630.0,82379.0,138396.0,214680.0,382172.0,135520.0,68.25814204466455,1.7154390425304176
2005,2005-06,Ear,83269.0,81026.0,44065.0,,,14415.0,64388.0,,,41836.0,28521.0,8325.0,4586.0,41503.0,67920.0,27.0,1.7
2005,2005-06,Circulatory,1244004.0,897741.0,694974.0,,,488990.0,295762.0,,,7023.0,333783.0,415630.0,487275.0,199550.0,7169489.0,67.79465419725338,9.719308941128807
